iter	Passed	Remaining
0	0	62
1	1	57
2	1	54
3	2	52
4	2	51
5	3	49
6	3	48
7	4	47
8	4	47
9	5	53
10	6	52
11	6	51
12	7	49
13	7	49
14	8	47
15	8	46
16	9	45
17	10	45
18	10	45
19	11	45
20	12	45
21	12	45
22	13	44
23	13	44
24	14	43
25	15	43
26	15	43
27	16	42
28	17	42
29	17	41
30	18	40
31	18	40
32	19	39
33	20	38
34	20	38
35	21	38
36	22	37
37	22	37
38	23	36
39	23	35
40	24	35
41	25	34
42	25	33
43	26	33
44	26	32
45	27	32
46	27	31
47	28	30
48	29	30
49	29	29
50	30	29
51	30	28
52	31	27
53	31	27
54	32	26
55	33	26
56	34	25
57	34	25
58	35	24
59	35	23
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	40	19
67	40	19
68	41	18
69	41	17
70	42	17
71	43	16
72	43	16
73	44	15
74	45	15
75	45	14
76	46	13
77	46	13
78	47	12
79	47	11
80	48	11
81	48	10
82	49	10
83	50	9
84	50	8
85	51	8
86	51	7
87	52	7
88	52	6
89	53	5
90	53	5
91	54	4
92	55	4
93	55	3
94	56	2
95	56	2
96	57	1
97	57	1
98	58	0
99	59	0
